Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2020-01-10,8087.4528852359,7808.7037326474,8136.4991260981,7670.4577915925
BTC,2020-01-11,8078.9935319903,8195.4759992712,8278.6605796425,8008.905116977
BTC,2020-01-12,8149.3137171468,8080.2296143216,8188.3858023401,7959.5335219804
BTC,2020-01-13,8116.9610079465,8150.8073363647,8191.1877148195,8035.3155303557
BTC,2020-01-14,8735.1424391365,8110.5112347453,8848.9219945188,8108.9540387696
BTC,2020-01-15,8843.6757322237,8735.1484173123,8897.643792588,8558.7443773392
BTC,2020-01-16,8711.6375778988,8825.385428024,8855.5301353874,8587.5183510031
BTC,2020-01-17,8925.2990284456,8711.6373107297,9009.5337001471,8665.0115377476
BTC,2020-01-18,8939.8643002492,8925.3034863741,8971.8906323129,8803.0944350362
BTC,2020-01-19,8638.1814404614,8939.8799944275,9181.9727908014,8455.129027536
BTC,2020-01-20,8652.6837629859,8638.1827126888,8739.3538192252,8502.5703185337
BTC,2020-01-21,8708.786013433,8652.6824688107,8783.7501000075,8486.3404573779
BTC,2020-01-22,8635.0743569587,8708.8352221244,8797.7736140327,8575.1032855126
BTC,2020-01-23,8384.0887767671,8635.074107528,8665.2724059751,8277.8091268159
BTC,2020-01-24,8451.2322960209,8381.5997737175,8512.454206647,8220.8673894814
BTC,2020-01-25,8347.567505406,8451.2321285783,8458.2839929308,8256.0430665915
BTC,2020-01-26,8562.307470442,8347.5699512759,8597.9041431215,8282.3583072511
BTC,2020-01-27,8881.9623914604,8562.307388095,8982.0354404362,8554.1256336151
BTC,2020-01-28,9131.1149880642,8877.7336172999,9176.3886480302,8874.2848186197
BTC,2020-01-29,9320.9784062486,9131.1146528164,9432.6774872835,9104.8240633841
BTC,2020-01-30,9545.0779565894,9288.5226462662,9633.2510350153,9185.1813402348
BTC,2020-01-31,9388.8807518859,9548.5453758381,9558.4326133253,9198.6590414019
BTC,2020-02-01,9363.1933827575,9388.8790704776,9451.0645797253,9284.4105590399
BTC,2020-02-02,9385.2603858419,9375.2268312725,9465.4879070367,9150.5345727305
BTC,2020-02-03,9269.7070348447,9385.2597687902,9603.1055824836,9222.9464935155
BTC,2020-02-04,9177.8946372066,9286.2077761598,9349.2470579603,9072.5882144438
BTC,2020-02-05,9625.4566372011,9177.8957937954,9745.1713772974,9147.6522811203
BTC,2020-02-06,9681.3774113095,9600.4035851114,9856.4477732891,9527.1516688188
BTC,2020-02-07,9795.3440659492,9681.3776995274,9872.6160693597,9653.132962425
BTC,2020-02-08,9927.7782564213,9795.343586045,9939.6715013086,9660.3091570566
BTC,2020-02-09,10132.706499106,9900.6846345293,10175.9070114234,9888.1547646154
BTC,2020-02-10,9838.9000162764,10132.7064787693,10197.1992831582,9752.1957570763
BTC,2020-02-11,10236.6351482326,9851.6442542986,10351.4559262839,9711.3609146837
BTC,2020-02-12,10364.9262882252,10236.7932647241,10489.7798581491,10218.5228603197
BTC,2020-02-13,10218.0997373046,10364.2323800436,10516.9179252276,10097.7616888251
BTC,2020-02-14,10367.5279981077,10234.467701605,10598.0301607446,10108.1591627515
BTC,2020-02-15,9926.353690569,10367.5274787261,10397.5364799673,9810.9280724781
BTC,2020-02-16,9876.2349632052,9926.3534545451,10052.3546170894,9642.4650322727
BTC,2020-02-17,9636.6240948155,9933.9019334018,9966.09538429,9468.2926979618
BTC,2020-02-18,10189.9959829746,9636.6243453088,10272.7948244353,9615.2634207426
BTC,2020-02-19,9701.0371914987,10190.007761341,10290.3042606394,9365.7802995899
BTC,2020-02-20,9631.4849459561,9608.9319696903,9704.6926251028,9410.9214156628
BTC,2020-02-21,9670.8586543715,9631.4825593356,9770.3406915984,9579.2374087583
BTC,2020-02-22,9689.0867428481,9696.5330638773,9724.3363918137,9575.0544894763
BTC,2020-02-23,9919.5514478418,9689.0859922174,10008.5404721395,9666.5194970895
BTC,2020-02-24,9640.4695050585,9921.0485615766,10008.3784911882,9480.1859420408
